Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Special Items - Other After-tax,,,,SPIOAQ,co_ifndq,"18,4",NUMBER,,SPIOAQ_DC,co_ifndq,2.0,NUMBER,,SPIOAQ_FN,co_ifntq,8.0,VARCHAR2
Special Items - Other Basic EPS Effect,,,Divide by Adjustment Factor,SPIEPSQ,co_ifndq,"18,4",NUMBER,,SPIEPSQ_DC,co_ifndq,2.0,NUMBER,,SPIEPSQ_FN,co_ifntq,8.0,VARCHAR2
Special Items - Other Diluted EPS Effect,,,Divide by Adjustment Factor,SPIDQ,co_ifndq,"18,4",NUMBER,,SPIDQ_DC,co_ifndq,2.0,NUMBER,,SPIDQ_FN,co_ifntq,8.0,VARCHAR2
,,,,,, ,,,,,,,,,,,
Supplemental items,,,,,,,,,,,,,,,,,
,Foreign Exchange Adjustment,,,FCAQ,co_ifndq,"18,4",NUMBER,,FCAQ_DC,co_ifndq,2.0,NUMBER,,FCAQ_FN1,co_ifntq,8.0,VARCHAR2
,Goodwill Amortization,,,GDWLAMQ,co_ifndq,"18,4",NUMBER,,GDWLAMQ_DC,co_ifndq,2.0,NUMBER,,GDWLAMQ_FN1,co_ifntq,8.0,VARCHAR2
,Stock Compensation Expense,,,STKCOQ,co_ifndq,"18,4",NUMBER,,STKCOQ_DC,co_ifndq,2.0,NUMBER,,STKCOQ_FN,co_ifntq,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Financial Services companies,,,,,,,,,,,,,,,,,
,Net Interest Income,,,NIITQ,co_ifndq,"18,4",NUMBER,,NIITQ_DC,co_ifndq,2.0,NUMBER,,NIITQ_FN,co_ifntq,8.0,VARCHAR2
,Interest Expense - Total,,,TIEQ,co_ifndq,"18,4",NUMBER,,TIEQ_DC,co_ifndq,2.0,NUMBER,,TIEQ_FN,co_ifntq,8.0,VARCHAR2
,Interest Income - Total,,,TIIQ,co_ifndq,"18,4",NUMBER,,TIIQ_DC,co_ifndq,2.0,NUMBER,,TIIQ_FN,co_ifntq,8.0,VARCHAR2
,Net Interest Margin,,,NIMQ,co_ifndq,"18,4",NUMBER,,NIMQ_DC,co_ifndq,2.0,NUMBER,,NIMQ_FN,co_ifntq,8.0,VARCHAR2
,Provision for Loan/Asset Losses,,,PLLQ,co_ifndq,"18,4",NUMBER,,PLLQ_DC,co_ifndq,2.0,NUMBER,,PLLQ_FN,co_ifntq,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Real Estate Investment Trust companies,,,,,,,,,,,,,,,,,
,Depreciation/Amortization of Property,,,DPRETQ,co_ifndq,"18,4",NUMBER,,DPRETQ_DC,co_ifndq,2.0,NUMBER,,DPRETQ_FN,co_ifntq,8.0,VARCHAR2
,Gain/Loss on Sale of Property,,,SRETQ,co_ifndq,"18,4",NUMBER,,SRETQ_DC,co_ifndq,2.0,NUMBER,,SRETQ_FN,co_ifntq,8.0,VARCHAR2
