Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Special Items - Other Basic EPS Effect,,,Divide by Adjustment Factor,SPIEPS,co_afnd2,"18,4",NUMBER,,SPIEPS_DC,co_afnddc2,2,NUMBER,,SPIEPS_FN,co_afntind,8,VARCHAR2
Special Items - Other Diluted EPS Effect,,,Divide by Adjustment Factor,SPID,co_afnd2,"18,4",NUMBER,,SPID_DC,co_afnddc2,2,NUMBER,,SPID_FN,co_afntind,8,VARCHAR2
,,,,,, ,,,,,,,,,,,
SUPPLEMENTAL,,,,,,,,,,,,,,,,,
Acquisitions-Income Contrib,,,,AQI,co_afnd1,"18,4",NUMBER,,AQI_DC,co_afnddc1,2,NUMBER,,AQI_FN,co_afntind,8,VARCHAR2
Acquisitions-Sales Contrib,,,,AQS,co_afnd1,"18,4",NUMBER,,AQS_DC,co_afnddc1,2,NUMBER,,AQS_FN,co_afntind,8,VARCHAR2
Earnings Before Interest and Taxes,,,,EBIT,co_afnd1,"18,4",NUMBER,,EBIT_DC,co_afnddc1,2,NUMBER,,EBIT_FN,co_afntind,8,VARCHAR2
Earnings Before Interest,,,,EBITDA,co_afnd1,"18,4",NUMBER,,EBITDA_DC,co_afnddc1,2,NUMBER,,EBITDA_FN,co_afntind,8,VARCHAR2
Net Income Effect Capitalized Interest,,,,NIECI,co_afnd2,"18,4",NUMBER,,NIECI_DC,co_afnddc2,2,NUMBER,,NIECI_FN,co_afntind,8,VARCHAR2
Goodwill Amortization,,,,GDWLAM,co_afnd1,"18,4",NUMBER,,GDWLAM_DC,co_afnddc1,2,NUMBER,,GDWLAM_FN,co_afntind,8,VARCHAR2
Implied Option Expense,,,,XINTOPT,co_afnd2,"18,4",NUMBER,,XINTOPT_DC,co_afnddc2,2,NUMBER,,XINTOPT_FN,co_afntind,8,VARCHAR2
Interest Expense on Long-term Debt,,,,XINTD,co_afnd2,"18,4",NUMBER,,XINTD_DC,co_afnddc2,2,NUMBER,,XINTD_FN,co_afntind,8,VARCHAR2
Stock Compensation Expense,,,,STKCO,co_afnd2,"18,4",NUMBER,,STKCO_DC,co_afnddc2,2,NUMBER,,STKCO_FN,co_afntind,8,VARCHAR2
Equity in Earnings - Unconsolidated Subsidiaries,,,,ESUB,co_afnd1,"18,4",NUMBER,,ESUB_DC,co_afnddc1,2,NUMBER,,ESUB_FN,co_afntind,8,VARCHAR2
Rental Income,,,,IRENT,co_afnd1,"18,4",NUMBER,,IRENT_DC,co_afnddc1,2,NUMBER,,IRENT_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Financial Services companies,,,,,,,,,,,,,,,,,
Interest Expense - Total,,,,TIE,co_afnd2,"18,4",NUMBER,,TIE_DC,co_afnddc2,2,NUMBER,,TIE_FN,co_afntind,8,VARCHAR2
Interest Income - Total,,,,TII,co_afnd2,"18,4",NUMBER,,TII_DC,co_afnddc2,2,NUMBER,,TII_FN,co_afntind,8,VARCHAR2
Net Interest Income (Tax Equivalent),,,,NIIT,co_afnd2,"18,4",NUMBER,,NIIT_DC,co_afnddc2,2,NUMBER,,NIIT_FN,co_afntind,8,VARCHAR2
Provision for Loan/Asset Losses,,,,PLL,co_afnd2,"18,4",NUMBER,,PLL_DC,co_afnddc2,2,NUMBER,,PLL_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
REIT Companies,,,,,,,,,,,,,,,,,
Depreciation/Amortization of Property,,,,DPRET,co_afnd1,"18,4",NUMBER,,DPRET_DC,co_afnddc1,2,NUMBER,,DPRET_FN,co_afntind,8,VARCHAR2
Gain/Loss on Sale of Property,,,,SRET,co_afnd2,"18,4",NUMBER,,SRET_DC,co_afnddc2,2,NUMBER,,SRET_FN,co_afntind,8,VARCHAR2
