Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
,Stock Compensation Expense,,,STKCOSA,co_ifndsa,"18,4",NUMBER,,STKCOSA_DC,co_ifndsa,2.0,NUMBER,,STKCOSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Financial Services companies,,,,,,,,,,,,,,,,,
,Net Interest Income,,,NIITSA,co_ifndsa,"18,4",NUMBER,,NIITSA_DC,co_ifndsa,2.0,NUMBER,,NIITSA_FN,co_ifntsa,8.0,VARCHAR2
,Interest Expense - Total,,,TIESA,co_ifndsa,"18,4",NUMBER,,TIESA_DC,co_ifndsa,2.0,NUMBER,,TIESA_FN,co_ifntsa,8.0,VARCHAR2
,Interest Income - Total,,,TIISA,co_ifndsa,"18,4",NUMBER,,TIISA_DC,co_ifndsa,2.0,NUMBER,,TIISA_FN,co_ifntsa,8.0,VARCHAR2
,Net Interest Margin,,,NIMSA,co_ifndsa,"18,4",NUMBER,,NIMSA_DC,co_ifndsa,2.0,NUMBER,,NIMSA_FN,co_ifntsa,8.0,VARCHAR2
,Provision for Loan/Asset Losses,,,PLLSA,co_ifndsa,"18,4",NUMBER,,PLLSA_DC,co_ifndsa,2.0,NUMBER,,PLLSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Real Estate Investment Trust companies,,,,,,,,,,,,,,,,,
,Depreciation/Amortization of Property,,,DPRETSA,co_ifndsa,"18,4",NUMBER,,DPRETSA_DC,co_ifndsa,2.0,NUMBER,,DPRETSA_FN,co_ifntsa,8.0,VARCHAR2
,Gain/Loss on Sale of Property,,,SRETSA,co_ifndsa,"18,4",NUMBER,,SRETSA_DC,co_ifndsa,2.0,NUMBER,,SRETSA_FN,co_ifntsa,8.0,VARCHAR2
